t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
2.200000000000000011e-01,1.483406379998484918e-10,-1.548636632594499574e+00,-1.800273703038946974e-10,-2.691959466061672468e-01,-6.201875899287093590e-10,3.127308017178350052e+00,-8.455459675304718013e-10,1.940787240369849806e-09,1.748371403727969342e-01,-2.355354728914497827e-09,1.051968353626937108e-02,-8.114109372851671764e-09,-1.660532046200120238e-01,-1.106254393304547312e-08,1.617629330832486604e-08,1.457252399969491963e+00,-1.963167736655675342e-08,8.768064981765896770e-02,-6.763039782045533135e-08,-1.384039057371746706e+00,-9.220534413811956268e-08
2.300000000000000100e-01,1.685662682949035466e-10,-1.546814592914173225e+00,-2.045733550310283741e-10,-2.690863172631873246e-01,-7.047475936917516261e-10,3.125577517999412080e+00,-9.608326507167973893e-10,2.105226215737989420e-09,1.896507374643151278e-01,-2.554919168640201438e-09,1.141099503395397868e-02,-8.801601439752566796e-09,-1.801225566109635468e-01,-1.199985089357988437e-08,1.670873385819159240e-08,1.505217669536844438e+00,-2.027785142464436101e-08,9.056664678320364148e-02,-6.985644339943212996e-08,-1.429594519472869418e+00,-9.524027081741547200e-08
2.399999999999999911e-01,1.904626341533650913e-10,-1.544842043882719063e+00,-2.311469576382575422e-10,-2.689676320025703449e-01,-7.962926655821017097e-10,3.123704071160573026e+00,-1.085642575393088614e-09,2.274906788568627566e-09,2.049365274331699238e-01,-2.760844852459826327e-09,1.233071765542538729e-02,-9.511007755786232532e-09,-1.946403781908897235e-01,-1.296703511268343911e-08,1.722463571854234041e-08,1.551693039995041490e+00,-2.090395399846453607e-08,9.336299879633223886e-02,-7.201334346218496814e-08,-1.473734936000104190e+00,-9.818092648360918015e-08
2.500000000000000000e-01,2.140813269071542197e-10,-1.542714337859863560e+00,-2.598107897736205795e-10,-2.688396111829039481e-01,-8.950385003967942802e-10,3.121683262522138680e+00,-1.220269813657548182e-09,2.449664259498136649e-09,2.206796732250161930e-01,-2.972931899924398769e-09,1.327795867779880956e-02,-1.024163974024567294e-08,-2.095925777290542080e-01,-1.396315779917492510e-08,1.772413639568328607e-08,1.596690898693327476e+00,-2.151015196675688589e-08,9.607045118491741587e-02,-7.410167289976037640e-08,-1.516472071953921530e+00,-1.010280949266604830e-07
2.600000000000000089e-01,2.394722977698707763e-10,-1.540426974956508710e+00,-2.906254726246027161e-10,-2.687019840527382075e-01,-1.001193935870345158e-09,3.119510818272472452e+00,-1.364999088886064015e-09,2.629335304225949212e-09,2.368654616590010198e-01,-3.190982099372337754e-09,1.425183283146817283e-02,-1.099281456133434227e-08,-2.249651812447251154e-01,-1.498728799977271355e-08,1.820737339592061200e-08,1.640223632980946533e+00,-2.209661220826101777e-08,9.868974927683193954e-02,-7.612200660320495141e-08,-1.557817692334791948e+00,-1.037825599365292560e-07
2.700000000000000178e-01,2.666838715874244531e-10,-1.537975601795998015e+00,-3.236496536060104967e-10,-2.685544886760528605e-01,-1.114961010163857444e-09,3.117182603751493808e+00,-1.520105854111205887e-09,2.813757973514557521e-09,2.534793034277637580e-01,-3.414798907929457056e-09,1.525146230010612260e-02,-1.176385513616615829e-08,-2.407443324071751323e-01,-1.603850259909476909e-08,1.867448422556050412e-08,1.682303630207144574e+00,-2.266350160171654892e-08,1.012216383999485353e-01,-7.807491946356531631e-08,-1.597783562143187508e+00,-1.064451053031753611e-07
2.800000000000000266e-01,2.957627605886650590e-10,-1.535356010275380934e+00,-3.589400230478457524e-10,-2.683968718577244839e-01,-1.236535019354125897e-09,3.114694622274181146e+00,-1.685856370401221442e-09,3.002771693189521840e-09,2.705067330974366691e-01,-3.644187451508972259e-09,1.627597672066406070e-02,-1.255409013076552379e-08,-2.569162925356821559e-01,-1.711588631965867950e-08,1.912560639090913843e-08,1.722943277721165067e+00,-2.321098702586307672e-08,1.036668638821399147e-01,-7.996098637188801486e-08,-1.636381446379578497e+00,-1.090165148165586208e-07
2.899999999999999800e-01,3.267540781360131251e-10,-1.532564136326677984e+00,-3.965513308831788485e-10,-2.682288890689938921e-01,-1.366104574922740377e-09,3.112043013954068016e+00,-1.862507785239030557e-09,3.196217264139455542e-09,2.879334091076438118e-01,-3.878954524811485875e-09,1.732451318337207419e-02,-1.336285396006727696e-08,-2.734674405995281554e-01,-1.821853172188159122e-08,1.956087739827269424e-08,1.762154962872252595e+00,-2.373923535944020182e-08,1.060261710512787475e-01,-8.178078221921961724e-08,-1.673623110044434981e+00,-1.114975722666388575e-07
2.999999999999999889e-01,3.597013524760913118e-10,-1.529596058678146298e+00,-4.365364033360243365e-10,-2.680503043729329793e-01,-1.503851661245194975e-09,3.109224054526747327e+00,-2.050308210901226733e-09,3.393936862316044544e-09,3.057451137715025968e-01,-4.118908591325008844e-09,1.839621623173902723e-02,-1.418948678791676088e-08,-2.903842732180005326e-01,-1.934553920408030197e-08,1.998043475395736078e-08,1.799951073009652847e+00,-2.424841348118755468e-08,1.083003052352378426e-01,-8.353488189660674662e-08,-1.709520318138229245e+00,-1.138890614433759994e-07
3.099999999999999978e-01,3.946465404903539805e-10,-1.526447997615544061e+00,-4.789461596092130382e-10,-2.678608903499123950e-01,-1.649951693079986492e-09,3.106234154173367124e+00,-2.249496802837066495e-09,3.595774038734028287e-09,3.239277532756221767e-01,-4.363859783324938205e-09,1.949023786255248136e-02,-1.503333452706975564e-08,-3.076534046603908723e-01,-2.049601700247117146e-08,2.038441596426931737e-08,1.836343995482609737e+00,-2.473868826984472936e-08,1.104900117618898836e-01,-8.522386029509598643e-08,-1.744084835661431798e+00,-1.161917661367298424e-07
