t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
2.001252781394292912e-02,1.245681062767742503e-04,-7.849158446158172042e-01,6.866759144985589997e-05,-2.356067217283099424e+00,1.115359182217179650e-05,1.570985651905064673e+00,7.850029001610109303e-01,1.840658141903552328e-02,1.243897697170523453e-02,1.014220481136948217e-02,-9.904012218265425063e-03,1.647272596830977407e-03,-2.107264570256367920e-03,4.287221682043596536e-04,1.786453000434571781e+00,1.208052399249853082e+00,9.834805949820961679e-01,-9.555585754794663211e-01,1.597117939943066001e-01,-2.019356021656787958e-01,4.164690673736666515e-02,3.794958353283274910e+00,1.123747277348422280e+00,2.916349309964661796e+00,1.658023288484194424e+01,8.732815172561348982e-01,-7.770140377860540459e-02,-1.464328774661818322e+00
2.101315420464007488e-02,1.438941213832237458e-04,-7.849027838751788666e-01,7.931594709367386753e-05,-2.356077612981448244e+00,1.288306006072392000e-05,1.570983440760931549e+00,7.850033503183198036e-01,2.023477009910843588e-02,1.367531411061890557e-02,1.114859315925035947e-02,-1.088144824574402425e-02,1.810702690024911963e-03,-2.313714460181351927e-03,4.713449718309070408e-04,1.867506793812198973e+00,1.262988906916434617e+00,1.027963116941926769e+00,-9.980069252283759740e-01,1.669318693447287283e-01,-2.106847916821482924e-01,4.354242870621446992e-02,3.966997382651510140e+00,1.317304338288260102e+00,3.079489276184018909e+00,1.642287054772253185e+01,8.594661629846234163e-01,-1.567398960248257422e-01,-1.530699820149965529e+00
2.201378059533722065e-02,1.650899192681758675e-04,-7.848884586054212242e-01,9.099351758506949079e-05,-2.356089007896007281e+00,1.477966341014264561e-05,1.570981018678433427e+00,7.850038440711697429e-01,2.214367744221858864e-02,1.496636701218202921e-02,1.219927300660741259e-02,-1.190111089726542115e-02,1.981321667101307218e-03,-2.528856316897182006e-03,5.158557631429161157e-04,1.947789643482799260e+00,1.317415666804708119e+00,1.072008357672114220e+00,-1.039959217810714653e+00,1.740805967093953521e-01,-2.193087235271710400e-01,4.542052673400336776e-02,4.137386347551036181e+00,1.508813592366254452e+00,3.241056098850674250e+00,1.626718883369073865e+01,8.457702959596239412e-01,-2.349364235547244106e-01,-1.596432254661861450e+00
2.301440698603436641e-02,1.882358835781527853e-04,-7.848728143114550582e-01,1.037444034695330942e-04,-2.356101444031776015e+00,1.685055957411854414e-05,1.570978377022796080e+00,7.850043833000165394e-01,2.413253315198517213e-02,1.631162634848309576e-02,1.329380744841607460e-02,-1.296250459100599210e-02,2.159058241686245393e-03,-2.752565014696374546e-03,5.622371324436547212e-04,2.027303808507676219e+00,1.371334156325370257e+00,1.115617616586659810e+00,-1.081417024379418335e+00,1.811581885623176347e-01,-2.278078182857032341e-01,4.728125110627753175e-02,4.306130262272638731e+00,1.698276831957965971e+00,3.401055565199453401e+00,1.611318337982453031e+01,8.321919843558123198e-01,-3.122937649821756478e-01,-1.661527882588884397e+00
2.401503337673151217e-02,2.134116283117355056e-04,-7.848557970070982881e-01,1.176122687643783453e-04,-2.356114962898644194e+00,1.910283503168527845e-05,1.570975507284238404e+00,7.850049698679206767e-01,2.620056919250372124e-02,1.771058426994673307e-02,1.443176087987971604e-02,-1.406513531727920929e-02,2.343841340012909041e-03,-2.984715848719852408e-03,6.104717203534330621e-04,2.106051547948131653e+00,1.424745852889118591e+00,1.158792193099563494e+00,-1.122381916087422882e+00,1.881648573775067390e-01,-2.361824965427009315e-01,4.912465210858115577e-02,4.473234147177928222e+00,1.885695796753183107e+00,3.559493522802109400e+00,1.596084983047268935e+01,8.187292560846465284e-01,-3.888146968342540699e-01,-1.725988506577489368e+00
2.501565976742866140e-02,2.406960000814563675e-04,-7.848373532135968222e-01,1.326403422597847537e-04,-2.356129605512971459e+00,2.154350524995991232e-05,1.570972401077552538e+00,7.850056056205975130e-01,2.834701978834615679e-02,1.916273440533370481e-02,1.561269899642966398e-02,-1.520851063853564250e-02,2.535600100921587760e-03,-3.225184534956947527e-03,6.605422178096046273e-04,2.184035120865470248e+00,1.477652233906649570e+00,1.201533386624825228e+00,-1.162855464087664492e+00,1.951008156289738005e-01,-2.444331788831203278e-01,5.095078002645841292e-02,4.638703028610946077e+00,2.071072177388067814e+00,3.716375877031317110e+00,1.581018383647037417e+01,8.053801009780210407e-01,-4.645019936043719988e-01,-1.789815927633080062e+00
2.601628615812580717e-02,2.701670803756907801e-04,-7.848174299581456292e-01,1.488714188198399658e-04,-2.356145412399157646e+00,2.417951489688313619e-05,1.570969050141681533e+00,7.850062923864674636e-01,3.057112142456071616e-02,2.066757186174089655e-02,1.683618879372516391e-02,-1.639213968936293481e-02,2.734263875859669311e-03,-3.473847210245393103e-03,7.124313660665642376e-04,2.261256786320992695e+00,1.530054776788660753e+00,1.243842496576445855e+00,-1.202839239533078919e+00,2.019662757907300377e-01,-2.525602858919175353e-01,5.275968514545348320e-02,4.802541938811265787e+00,2.254407619023592435e+00,3.871708588555498043e+00,1.566118105436215302e+01,7.921424729355648342e-01,-5.393584278056142711e-01,-1.853011945218675738e+00
2.701691254882295293e-02,3.019021878205501255e-04,-7.847959747724089219e-01,1.663478606835820336e-04,-2.356162423591215305e+00,2.701773805395957438e-05,1.570965446339298133e+00,7.850070319767067373e-01,3.287211284667202610e-02,2.222459322460132794e-02,1.810179856765341613e-02,-1.761553317648584249e-02,2.939762228881647420e-03,-3.730580432271334013e-03,7.661219566957502142e-04,2.337718803376003240e+00,1.581954958945849032e+00,1.285720822368425331e+00,-1.242334813576602137e+00,2.087614503367866137e-01,-2.605642381540487773e-01,5.455141775111055358e-02,4.964755915828693134e+00,2.435703724870682763e+00,4.025497670864287336e+00,1.551383714563283966e+01,7.790142920358533729e-01,-6.133867700242384702e-01,-1.915578357348444616e+00
2.801753893952009869e-02,3.359778804417738480e-04,-7.847729356910414511e-01,1.851115987660423192e-04,-2.356180678634344883e+00,3.006497842899809219e-05,1.570961581656385109e+00,7.850078261852976302e-01,3.524923506068106116e-02,2.383329655768417349e-02,1.940909791432956708e-02,-1.887820337876619861e-02,3.152024936649118307e-03,-3.995261179569318567e-03,8.215968315856434032e-04,2.413423431091804794e+00,1.633354257788911079e+00,1.327169663414764278e+00,-1.281343757371170122e+00,2.154865517411547193e-01,-2.684454562544701384e-01,5.632602812897381100e-02,5.125350003439463897e+00,2.614962059662309102e+00,4.177749187824346677e+00,1.536814777594586978e+01,7.659934466117894747e-01,-6.865897889733847403e-01,-1.977516960676122260e+00
2.901816533021724445e-02,3.724699579266217610e-04,-7.847482612502089117e-01,2.052041339592872214e-04,-2.356200216586505469e+00,3.332796956885201160e-05,1.570957448201812712e+00,7.850086767890783745e-01,3.770173133306515406e-02,2.549318140309471750e-02,2.075765773009669024e-02,-2.017966414720293034e-02,3.370981988430781558e-03,-4.267766851522304151e-03,8.788388829417670672e-04,2.488372928529699823e+00,1.684254150728544674e+00,1.368190319129462873e+00,-1.319867642069718627e+00,2.221417924778454900e-01,-2.762043607781377585e-01,5.808356656458741468e-02,5.284329251063987876e+00,2.792184153072938546e+00,4.328469251265366857e+00,1.522410861438932983e+01,7.530777952904532668e-01,-7.589702515469403110e-01,-2.038829550578401761e+00
