t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_cmd0,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,sigma_min,tau_ext_max
0.04700686,0.00054388,-0.78799808,-0.00018972,-2.21911337,0.00420382,1.58724370,0.78553250,0.01171177,-0.04816438,-0.00086996,0.29768437,-0.00095634,0.04289451,-0.00103895,-0.13629020,-1.09710139,-0.43578351,0.86367653,0.50007329,0.29016799,-0.04726734,0.78840124,0.00161479,0.01748251,-2.34325302,0.52072765,-0.05598383,-0.01193281,0.21519428,1.09710139
0.04800701,0.00056202,-0.78805187,-0.00018972,-2.21882185,0.00420243,1.58728184,0.78553630,0.01403150,-0.04904876,-0.00098006,0.29460423,-0.00131498,0.04123964,0.00054810,-0.13624849,-1.06962185,-0.43579247,0.83855356,0.49897063,0.28716318,-0.04735772,0.78245506,0.01087460,0.02765626,-2.40636421,0.52340986,-0.06550550,-0.02261814,0.21517154,1.06962185
0.04900715,0.00057263,-0.78810451,-0.00018759,-2.21853197,0.00420327,1.58731866,0.78553544,0.01298827,-0.05024142,-0.00028760,0.29179015,-0.00062789,0.03965865,0.00046780,-0.13646937,-1.04502498,-0.43573175,0.81302555,0.49784617,0.28407473,-0.04742182,0.82499518,0.02359390,0.02726255,-2.47360470,0.51870368,-0.07576293,-0.02138230,0.21514891,1.04502498
0.05000730,0.00058876,-0.78815234,-0.00018688,-2.21825215,0.00420253,1.58735602,0.78553490,0.01389860,-0.04986182,0.00041069,0.28816799,-0.00073997,0.03847721,-0.00017229,-0.13694710,-1.02274488,-0.43628456,0.78720388,0.49671055,0.28093525,-0.04748477,0.83975563,0.01409970,0.02635028,-2.52888335,0.51968531,-0.08904736,-0.01623729,0.21512705,1.02274488
0.05100745,0.00060745,-0.78820294,-0.00018872,-2.21797468,0.00420254,1.58738850,0.78553508,0.01570340,-0.05068356,-0.00039113,0.28400943,-0.00067615,0.03672491,0.00054782,-0.13771325,-1.00404355,-0.43774916,0.76242785,0.49560319,0.27784969,-0.04754149,0.84178033,0.02120584,0.04601150,-2.57709411,0.51939163,-0.09838000,-0.02063827,0.21510538,1.00404355
0.05200759,0.00062209,-0.78825191,-0.00018864,-2.21770759,0.00420255,1.58742411,0.78553655,0.01513487,-0.04976647,0.00047483,0.27922334,-0.00048784,0.03509190,0.00074365,-0.13872714,-0.99078085,-0.43990554,0.74066420,0.49458852,0.27498039,-0.04757337,0.87808353,0.00410717,0.04299017,-2.61584832,0.51827974,-0.10890793,-0.02142247,0.21508450,0.99078085
0.05300774,0.00063899,-0.78830709,-0.00019040,-2.21743064,0.00420417,1.58745413,0.78553032,0.01527811,-0.05092906,-0.00029427,0.27814502,0.00011314,0.03363292,-0.00158765,-0.13944285,-0.98322563,-0.44209495,0.72234389,0.49370719,0.27236485,-0.04758378,0.90430663,0.01427221,0.06234237,-2.70828852,0.51419281,-0.12077873,-0.00411192,0.21506285,0.98322563
0.05400788,0.00065849,-0.78836067,-0.00019039,-2.21715456,0.00420417,1.58748069,0.78553330,0.01644121,-0.05193899,-0.00011485,0.27720538,-0.00013611,0.03209123,0.00001478,-0.13942115,-0.97754352,-0.44357978,0.70455977,0.49288052,0.26976812,-0.04757154,0.91631999,0.02165795,0.06802260,-2.80311608,0.51616546,-0.13215944,-0.01478562,0.21504126,0.97754352
0.05500803,0.00067834,-0.78841390,-0.00019247,-2.21689016,0.00420103,1.58750302,0.78553530,0.01742359,-0.05294201,-0.00067456,0.27402055,-0.00129171,0.02910647,0.00133232,-0.13875254,-0.96978561,-0.44417485,0.68466736,0.49200876,0.26701229,-0.04752539,0.93101049,0.02949455,0.08405705,-2.86587213,0.52464351,-0.13343566,-0.02340882,0.21502058,0.96978561
0.05600818,0.00069988,-0.78846608,-0.00019668,-2.21662726,0.00420650,1.58752770,0.78553309,0.01842053,-0.05236762,-0.00171178,0.27040110,0.00078899,0.02733779,-0.00118352,-0.13746208,-0.96052920,-0.44357042,0.66348101,0.49112024,0.26421435,-0.04745893,0.94554684,0.01532766,0.10683166,-2.92279460,0.51006010,-0.14355405,-0.00497953,0.21500001,0.96052920
